id,id_kompetisi,capaian,skala_kompetisi,kategori_peserta,waktu_selesai,last_update,waktu_mulai,nama_kegiatan,jenis_kegiatan,lembaga_penyelenggara,kategori_capaian,kategori_penghargaan,is_pusprenas,status_validasi
5655,EBD6D326-5014-4A84-8A63-992AC78ADF55,Juara 2/perak,Regional,Individu,2023-03-19,2023-12-22,2023-03-16,Kejuaraan Provinsi Taekwondo Indonesia Jawa Timur I - 2023,Olahraga,Pengurus Provinsi Taekwondo Indonesia Jawa Timur,Juara,Juara 2,0,2
5656,7EC2E484-89F4-400B-A2AA-99EFFA71D328,Juara harapan,Lokal,Individu,2022-02-13,2023-12-22,2022-02-13,Olimpiade Sains ITS 2022 (Bidang Fisika),Olimpiade Matematika dan IPA PT (ONMIPA PT),Institut Teknologi Sepuluh Nopember,Apresiasi,Apresiasi,1,2
5657,89F8B6BC-5FF9-4DF1-A433-66F5C5EFFC03,Peserta,Nasional,Kelompok,2021-09-25,2023-12-22,2021-07-08,UI Innovation War National Business Plan Competition,Lomba Mandiri atau Umum,Universitas Indonesia,Apresiasi,Apresiasi,0,2
5658,8CBD21EF-EBFC-4C71-B31D-7084521793F3,Finalis,Nasional,Kelompok,2021-10-23,2023-12-22,2021-08-30,LKTI National Competetion of Food and Agriculture Innovation (NCFAI) 2021,Lomba Mandiri atau Umum,Universitas Sebelas Maret,Apresiasi,Apresiasi,0,2
5659,1F0475C5-7F74-4390-9DE6-BCC7201D4786,Juara 2/perak,Nasional,Kelompok,2021-11-28,2023-12-22,2021-10-24,Lomba Karya Tulis Ilmiah Nasional Geographien 2021,Lomba Mandiri atau Umum,Himpunan Mahasiswa Pendidikan Geografi Unej,Juara,Juara 2,0,2
5660,DB31425F-9580-4F29-94A5-FA701376DA77,Juara 2/perak,Nasional,Kelompok,2021-11-11,2023-12-22,2021-10-12,National Fisheries Bussines Plan Competition 2021,Lomba Mandiri atau Umum,Politeknik Kelautan dan Perikanan Sidoarjo,Juara,Juara 2,0,2
5661,19B83F05-1FA7-437D-B9C9-169672C5E438,Juara 2/perak,Internasional,Kelompok,2021-10-31,2023-12-22,2021-09-06,COMPAS 2021,Lomba Mandiri atau Umum,HIMAGE-ITS,Juara,Juara 2,0,2
5662,5D9EE58C-1AA0-41AF-8D8D-4C305F15326A,Peserta,Lokal,Kelompok,2021-11-07,2023-12-22,2021-11-06,Liga PKM IF ITS 2021,Lomba Mandiri atau Umum,HMTC Progresif 2021,Apresiasi,Apresiasi,0,2
5663,F350B040-3ECD-4097-9209-5B27C47975B4,Juara 1/emas,Nasional,Individu,2021-11-27,2023-12-22,2021-10-21,Physics Education Festival 2021,Lomba Mandiri atau Umum,Himpunan Mahasiswa Pendidikan Fisika (HIMAFIS) FKIP Universitas Mataram,Juara,Juara 1,0,2
5664,1218D0D3-4819-4CF9-A9B6-75A329AF5711,Peserta dengan pengakuan/apresiasi,Internasional,Individu,2021-11-14,2023-12-22,2021-11-13,Surabaya Model United Nations 2021,Lomba Mandiri atau Umum,ITS MUN Club,Apresiasi,Apresiasi,0,2
